rep,backend,ncmoe,test,tps,stddev,wall_s
1,hip-gfx1010,28,pp512,144.87,11.19,154.5
1,hip-gfx1010,28,tg128,17.33,0.29,154.5
1,hip-gfx1010,28,pp512 @ d4096,60.46,0.67,154.5
1,hip-gfx1010,28,tg128 @ d4096,12.63,0.39,154.5
1,vulkan,28,pp512,85.99,2.71,1181.4
1,vulkan,28,tg128,15.93,0.78,1181.4
1,vulkan,28,pp512 @ d4096,3.09,0.89,1181.4
1,vulkan,28,tg128 @ d4096,5.79,1.04,1181.4
1,hip-gfx1010,32,pp512,43.15,13.93,324.6
1,hip-gfx1010,32,tg128,8.06,1.77,324.6
1,hip-gfx1010,32,pp512 @ d4096,47.22,2.06,324.6
1,hip-gfx1010,32,tg128 @ d4096,9.99,0.42,324.6
1,vulkan,32,pp512,154.97,13.41,215.0
1,vulkan,32,tg128,10.96,0.18,215.0
1,vulkan,32,pp512 @ d4096,39.56,1.71,215.0
1,vulkan,32,tg128 @ d4096,9.70,0.70,215.0
2,vulkan,28,pp512,47.77,12.26,106.3
2,vulkan,28,tg128,7.63,1.12,106.3
2,hip-gfx1010,28,pp512,63.38,35.00,89.9
2,hip-gfx1010,28,tg128,9.15,1.75,89.9
3,hip-gfx1010,28,pp512,44.31,17.57,103.5
3,hip-gfx1010,28,tg128,7.90,1.24,103.5
3,vulkan,28,pp512,78.37,0.75,62.6
3,vulkan,28,tg128,15.16,1.00,62.6
4,vulkan,28,pp512,74.41,7.29,63.0
4,vulkan,28,tg128,14.25,0.41,63.0
4,hip-gfx1010,28,pp512,70.23,8.45,69.5
4,hip-gfx1010,28,tg128,12.12,0.34,69.5
